gen;best;avg;worst
0;24553;29143;33043
1;24013;28669;32610
2;24013;28315;33681
3;23627;27649;31248
4;23056;27256;31681
5;22158;26871;31636
6;21816;26448;30727
7;21816;26106;30599
8;21816;25866;29934
9;21741;25691;29877
10;21741;25439;29649
11;21511;25173;29258
12;21511;24914;29708
13;21463;24739;30295
14;20923;24506;28909
15;20233;24253;29018
16;20233;24134;30701
17;20233;23811;28121
18;20110;23683;28373
19;19572;23499;28069
20;19572;23331;28333
21;19162;23193;28220
22;19162;23048;27508
23;18243;22877;28766
24;18243;22577;27856
25;18243;22539;27244
26;18243;22352;27512
27;17847;21979;27146
28;17847;21621;26340
29;17847;21374;25669
30;17591;21394;25849
31;17469;21123;25987
32;17145;20993;25411
33;17145;20785;25396
34;17145;20688;25258
35;17145;20650;25808
36;17145;20493;24688
37;17145;20465;26006
38;17145;20297;24395
39;17055;20082;24230
40;17012;20008;24618
41;17012;19841;25273
42;17012;19788;26683
43;16896;19675;24551
44;16791;19466;23323
45;16454;19336;24520
46;16454;19289;23770
47;16454;19099;22353
48;16454;18973;23633
49;16279;19058;24007
50;16134;18846;23928
51;16124;18965;23877
52;16124;19015;23928
53;16108;18987;23505
54;16108;19089;23713
55;16051;19120;23742
56;16051;19047;23419
57;16051;18974;23446
58;16051;19068;23832
59;15885;18986;24571
60;15885;18897;23445
61;15856;18973;23347
62;15856;18954;23251
63;15856;18960;23427
64;15856;19009;22785
65;15856;18975;23920
66;15856;18823;24164
67;15856;18775;23381
68;15856;18674;23225
69;15856;18723;24257
70;15856;18665;23537
71;15856;18671;22543
72;15856;18649;23283
73;15856;18492;21994
74;15350;18495;23204
75;15350;18311;23349
76;15350;18254;22003
77;15350;18183;21946
78;15220;18075;23361
79;15220;17950;21283
80;15220;17927;22615
81;15220;17904;21906
82;14700;17771;20993
83;14699;17584;22241
84;14605;17457;21532
85;14605;17426;22893
86;14498;17410;21021
87;14498;17282;22375
88;14498;17252;20505
89;14143;17083;20786
90;14083;16917;20189
91;14083;16977;21081
92;13437;16962;19989
93;13437;16988;20614
94;13437;16950;21147
95;13437;16895;21588
96;13437;16842;20210
97;13437;16766;19722
98;13437;16838;20756
99;13437;16870;20588
100;13437;16851;21808
101;13437;16869;20507
102;13437;16772;19972
103;13437;16730;20651
104;13437;16683;20234
105;13437;16612;20196
106;13437;16679;21570
107;13437;16662;20539
108;13437;16688;20522
109;13437;16673;20440
110;13437;16614;19962
111;13437;16531;19736
112;13437;16529;20722
113;13437;16458;19736
114;13437;16311;19440
115;13276;16325;21184
116;13276;16324;19955
117;13276;16247;20085
118;13276;16201;20927
119;13276;16174;20418
120;13276;16117;19838
121;13276;16055;19539
122;13276;15962;19573
123;13276;15867;19571
124;13276;15815;18884
125;13276;15728;19515
126;13046;15763;21298
127;13046;15626;19333
128;13046;15680;19582
129;13046;15558;19032
130;13046;15584;18829
131;13046;15635;20416
132;13046;15596;21160
133;13046;15468;19498
134;13046;15372;19656
135;13046;15361;18956
136;12644;15230;17638
137;12644;15249;19024
138;12644;15231;18491
139;12644;15145;18066
140;12644;15224;19087
141;12644;15132;18342
142;12644;15023;19456
143;12644;15012;18955
144;12644;14994;17849
145;12644;14935;17941
146;12644;14914;18004
147;12644;14863;19675
148;12644;14839;18108
149;12644;14817;17824
150;12644;14811;17957
151;12644;14766;18183
152;12644;14808;17343
153;12641;14883;18150
154;12641;14883;19331
155;12641;14949;18717
156;12641;14854;18465
157;12641;14852;18525
158;12641;14797;17954
159;12641;14740;18233
160;12641;14718;18246
161;12641;14671;18906
162;12641;14637;17807
163;12641;14609;18308
164;12641;14621;17788
165;12199;14627;17660
166;12199;14587;18106
167;12199;14535;18014
168;12199;14517;17786
169;12199;14522;18455
170;12199;14490;18494
171;12199;14445;18793
172;12199;14436;17707
173;12199;14357;17648
174;12199;14282;18050
175;12140;14196;17539
176;12140;14186;17153
177;12140;14156;17466
178;12140;14152;17202
179;12140;14095;17389
180;12140;14001;17309
181;12140;14004;17021
182;12140;14057;17103
183;12069;13956;16665
184;11971;13942;17081
185;11971;13780;18334
186;11971;13798;17823
187;11971;13857;17523
188;11971;13849;17053
189;11971;13725;17110
190;11971;13744;16817
191;11971;13825;16947
192;11971;13849;17245
193;11971;13845;16539
194;11971;13797;17614
195;11971;13762;18021
196;11971;13665;16966
197;11897;13581;16884
198;11897;13539;16922
199;11858;13471;15941
200;11858;13461;16979
201;11858;13499;17386
202;11858;13478;16902
203;11858;13425;16735
204;11787;13453;17455
205;11787;13409;15690
206;11763;13357;17090
207;11763;13273;16010
208;11763;13296;16483
209;11763;13267;15954
210;11649;13294;16851
211;11649;13257;16079
212;11460;13190;15772
213;11460;13224;17122
214;11447;13202;16645
215;11447;13242;18074
216;11447;13252;16476
217;11447;13239;16783
218;11447;13178;17698
219;11447;13282;18242
220;11447;13333;18287
221;11447;13227;16448
222;11447;13262;16282
223;11447;13229;16465
224;11447;13187;17475
225;11447;13161;16090
226;11447;13176;15777
227;11447;13170;16097
228;11447;13230;16562
229;11447;13187;16909
230;11447;13184;17974
231;11447;13084;15677
232;11447;13100;17036
233;11401;13054;15785
234;11249;13036;16242
235;11249;13075;16797
236;11249;13109;16636
237;11249;12991;15508
238;11193;12969;16163
239;11193;12913;17097
240;11049;12818;16588
241;11049;12732;16840
242;11049;12674;16314
243;11049;12585;15715
244;10953;12452;15861
245;10925;12329;15732
246;10925;12231;14963
247;10925;12144;15317
248;10874;11975;14332
249;10835;11894;14459
250;10740;11868;15758
251;10740;11756;14177
252;10739;11717;14241
253;10639;11710;14283
254;10634;11603;14070
255;10538;11542;13998
256;10538;11491;14954
257;10538;11414;14802
258;10538;11369;13674
259;10538;11307;13710
260;10392;11280;14490
261;10253;11172;14459
262;10120;11093;14707
263;9871;10993;13361
264;9871;10948;12906
265;9871;10903;14278
266;9839;10790;13697
267;9839;10755;12979
268;9839;10761;13896
269;9839;10738;13429
270;9839;10636;14384
271;9699;10593;14603
272;9699;10598;14537
273;9699;10512;14979
274;9699;10513;14260
275;9650;10424;13258
276;9650;10324;13108
277;9650;10330;13801
278;9650;10274;14601
279;9639;10180;12542
280;9573;10162;13699
281;9536;10112;12928
282;9536;10134;14737
283;9494;10065;12561
284;9494;10021;13088
285;9434;9914;13516
286;9434;9864;12730
287;9434;9847;14137
288;9434;9826;12571
289;9410;9809;12773
290;9401;9869;12396
291;9401;9850;13024
292;9401;9787;14119
293;9401;9765;12723
294;9149;9754;15259
295;9149;9768;12685
296;9149;9790;12819
297;9149;9735;13430
298;9149;9793;14332
299;9149;9713;13100
300;9149;9663;13039
301;9149;9721;14479
302;9149;9682;11988
303;9149;9689;14142
304;9149;9720;13099
305;9149;9794;12621
306;9149;9710;12884
307;9149;9705;12492
308;9149;9672;13152
309;9149;9640;12021
310;9149;9628;13688
311;9149;9642;12566
312;9149;9624;12151
313;9149;9598;11988
314;9149;9579;12356
315;9149;9559;12190
316;9149;9521;13541
317;9149;9479;11668
318;9149;9530;11993
319;9149;9482;12283
320;9149;9525;12404
321;9149;9527;12896
322;9149;9504;11587
323;9149;9506;12781
324;9149;9490;12651
325;9149;9463;12011
326;9149;9381;12338
327;9149;9408;11869
328;9149;9408;11731
329;9149;9448;12766
330;9149;9426;13256
331;9149;9433;12429
332;9105;9401;12655
333;9105;9385;15005
334;9105;9365;12743
335;9105;9356;11982
336;9105;9380;13105
337;9105;9400;12968
338;9105;9368;13215
339;9046;9349;14020
340;9046;9342;14025
341;9046;9357;12167
342;9046;9350;13057
343;9046;9394;12033
344;9046;9338;11581
345;9046;9380;13278
346;9046;9326;13225
347;9046;9341;13584
348;9046;9401;12969
349;9046;9342;13471
350;9046;9397;12635
351;9046;9455;12801
352;9046;9400;11798
353;9046;9488;13863
354;9046;9409;13507
355;9046;9380;13390
356;9046;9389;12830
357;9046;9416;12807
358;9046;9373;12106
359;9046;9344;13294
360;9046;9315;11787
361;9043;9382;12094
362;9022;9342;11702
363;8946;9340;13013
364;8929;9309;11791
365;8929;9328;11748
366;8929;9338;12751
367;8929;9374;12726
368;8929;9336;12239
369;8929;9343;12647
370;8929;9339;12466
371;8929;9293;12219
372;8929;9293;12694
373;8929;9260;12530
374;8929;9305;12718
375;8929;9251;12038
376;8929;9233;12326
377;8899;9233;13298
378;8899;9223;12571
379;8899;9156;11848
380;8899;9118;11629
381;8899;9056;11324
382;8899;9035;12279
383;8899;9060;11458
384;8899;9060;12574
385;8899;9074;11531
386;8801;9088;12408
387;8801;9105;11570
388;8801;9116;11936
389;8801;9113;12303
390;8801;9062;11451
391;8801;9079;10880
392;8801;9052;11649
393;8801;9095;11963
394;8801;9070;12330
395;8801;9057;12793
396;8801;9067;12046
397;8724;9047;11258
398;8724;9030;11080
399;8724;9049;11710
400;8724;9040;11888
401;8724;9014;11526
402;8724;9018;10916
403;8724;9019;10838
404;8724;9067;11256
405;8724;9082;11218
406;8724;9079;11730
407;8724;9056;11529
408;8724;9099;12804
409;8724;9074;12797
410;8724;9089;12771
411;8724;9079;12564
412;8724;9062;12196
413;8724;9041;11928
414;8724;9124;12103
415;8724;9114;13610
416;8724;9098;11778
417;8724;9058;12163
418;8724;9032;10933
419;8724;9044;11562
420;8724;9103;13038
421;8724;9094;12941
422;8724;9016;11569
423;8724;9037;12631
424;8724;9054;13152
425;8724;9033;11216
426;8724;9008;12934
427;8724;9033;11819
428;8724;9036;13088
429;8724;9078;14321
430;8724;9147;12621
431;8724;9090;12613
432;8724;9086;11972
433;8724;9126;12096
