gen;best;avg;worst
0;24246;29154;33824
1;23570;28547;32985
2;22831;27950;33007
3;22566;27483;33171
4;22244;27131;31940
5;21869;26707;31343
6;21869;26386;31473
7;19512;26094;30489
8;19512;25858;30446
9;19267;25521;30646
10;19267;25191;29699
11;19267;24881;32444
12;19267;24620;29919
13;19267;24386;29402
14;19267;24259;29850
15;19267;24034;28991
16;19267;23894;30436
17;19267;23707;29033
18;19267;23612;29033
19;18764;23425;29010
20;18510;23285;28277
21;18510;23105;28170
22;18510;22930;27925
23;18104;22843;28624
24;18104;22710;27646
25;18104;22618;28492
26;18104;22516;29138
27;18104;22398;29305
28;18104;22302;27077
29;18104;22239;27087
30;18104;22169;27740
31;17817;22067;28570
32;17817;21964;27745
33;17817;21841;28607
34;17817;21764;27058
35;17817;21679;27027
36;17507;21594;27061
37;17507;21438;26457
38;17286;21368;26431
39;17286;21246;26687
40;17286;21280;27017
41;17286;21198;26268
42;17286;21160;27413
43;17286;21075;26578
44;17095;20984;26064
45;17095;20915;26571
46;17095;20918;26793
47;17095;20859;25820
48;16886;20855;27176
49;16886;20825;26506
50;16886;20719;27168
51;16886;20637;26226
52;16886;20601;26574
53;16838;20553;25391
54;16564;20499;25515
55;16564;20398;24990
56;16103;20342;25634
57;16103;20275;25689
58;16103;20296;25617
59;15989;20228;24997
60;15989;20169;26337
61;15989;20061;25882
62;15989;19991;24669
63;15989;19879;25178
64;15989;19800;25782
65;15989;19685;25006
66;15989;19560;25243
67;15082;19567;26139
68;15082;19512;24598
69;15082;19412;25254
70;14435;19337;26045
71;14435;19250;23975
72;14435;19240;25083
73;14435;19203;24338
74;14435;19089;24738
75;14435;19003;24825
76;14435;18917;23778
77;14435;18814;25520
78;14435;18803;23599
79;14435;18780;25762
80;14435;18699;24963
81;14435;18608;24811
82;14435;18519;24152
83;14435;18435;23495
84;14435;18382;23234
85;14435;18335;23219
86;14435;18185;23267
87;14435;18124;22698
88;14435;18118;23049
89;13930;18056;23814
90;13930;18008;23023
91;13930;18000;22775
92;13930;17994;23582
93;13930;17932;23272
94;13930;17818;22435
95;13930;17785;22311
96;13930;17773;22370
97;13928;17717;22615
98;13928;17759;22702
99;13928;17704;23686
100;13928;17677;22771
101;13928;17661;21891
102;13928;17606;22046
103;13928;17548;23361
104;13928;17457;22575
105;13928;17393;22849
106;13928;17336;22110
107;13928;17265;22109
108;13928;17192;21929
109;13928;17091;22878
110;13928;17023;21603
111;13928;17011;21794
112;13005;16941;21728
113;13005;16906;21633
114;13005;16826;21923
115;13005;16703;21631
116;13005;16632;21985
117;13005;16597;20804
118;13005;16497;21747
119;13005;16432;20894
120;13005;16331;22128
121;13005;16251;20527
122;13005;16171;20867
123;13005;16093;20115
124;13005;16098;20324
125;13005;16106;20645
126;13005;16025;23438
127;13005;15958;20186
128;13005;15902;20092
129;13005;15849;20330
130;13005;15854;21521
131;13005;15855;21581
132;13005;15767;20146
133;13005;15755;20983
134;13005;15747;20095
135;12825;15699;19909
136;12825;15706;21284
137;12825;15638;20080
138;12825;15598;19900
139;12825;15571;20423
140;12825;15439;19255
141;12568;15418;20384
142;12568;15334;19611
143;12568;15226;19185
144;12568;15156;19533
145;12568;15149;20163
146;12568;15134;20787
147;12568;15098;19070
148;12568;15031;19677
149;12435;14996;20125
150;12435;14949;19500
151;12405;14924;18553
152;12004;14823;19345
153;12004;14798;18158
154;12004;14704;19082
155;12004;14651;18934
156;12004;14589;18894
157;11667;14532;19556
158;11667;14475;18525
159;11667;14380;18278
160;11667;14279;18619
161;11667;14248;18259
162;11667;14191;18133
163;11667;14205;18099
164;11667;14174;18549
165;11667;14127;18294
166;11667;14031;18066
167;11667;13968;17115
168;11667;13950;18764
169;11589;13899;18172
170;11589;13846;19131
171;11552;13755;17962
172;11552;13727;17758
173;11552;13675;17589
174;11348;13576;17904
175;11348;13494;16935
176;11348;13379;18167
177;11339;13265;17525
178;11191;13151;17139
179;11031;13066;17648
180;11031;13033;17978
181;11031;12967;17689
182;11031;12858;17266
183;11003;12773;16839
184;11003;12633;17464
185;10822;12533;17679
186;10822;12405;15371
187;10797;12359;16304
188;10660;12263;15503
189;10566;12141;16052
190;10334;12015;18198
191;10334;11935;17697
192;10222;11818;15187
193;10222;11745;15682
194;10155;11650;15081
195;10155;11571;15146
196;10136;11449;15299
197;10136;11337;15433
198;9964;11248;15527
199;9964;11136;14707
200;9934;11107;15260
201;9934;11007;14833
202;9642;10939;14599
203;9642;10857;14516
204;9642;10801;13669
205;9642;10729;14713
206;9642;10692;15875
207;9642;10616;16113
208;9556;10512;14901
209;9556;10452;13814
210;9556;10440;14163
211;9480;10425;14828
212;9480;10373;13875
213;9480;10345;13711
214;9459;10372;15625
215;9459;10317;13704
216;9459;10261;14397
217;9384;10220;13641
218;9312;10174;13239
219;9312;10138;13419
220;9275;10136;13759
221;9257;10094;12634
222;9257;10082;13213
223;9257;10088;14719
224;9257;10068;13836
225;9257;10001;14024
226;9199;9987;13798
227;9199;9953;13682
228;9199;9953;13326
229;9199;9953;13237
230;9199;9911;12947
231;9199;9903;13640
232;9199;9876;14377
233;9199;9880;14814
234;9199;9869;13923
235;9156;9870;15091
236;9156;9848;14275
237;9156;9859;15410
238;9156;9861;14716
239;9119;9808;15012
240;9119;9775;14103
241;9119;9752;14634
242;9119;9766;13883
243;9094;9742;13051
244;9064;9730;14209
245;9064;9737;13629
246;9064;9714;13506
247;9016;9722;12941
248;9016;9700;15431
249;9016;9672;13574
250;9016;9683;13682
251;9016;9696;14902
252;9016;9719;13834
253;8986;9708;13181
254;8986;9697;14235
255;8986;9683;14411
256;8986;9645;12842
257;8986;9666;14322
258;8986;9648;13320
259;8986;9595;13597
260;8986;9605;13399
261;8986;9540;13933
262;8949;9495;14190
263;8949;9424;12532
264;8949;9395;12802
265;8949;9349;12489
266;8949;9322;12047
267;8933;9308;12881
268;8933;9279;13184
269;8887;9314;13028
270;8887;9271;12644
271;8887;9251;12497
272;8887;9213;13278
273;8887;9217;13028
274;8813;9215;13088
275;8813;9206;13640
276;8813;9213;13483
277;8813;9209;13966
278;8808;9171;13163
279;8808;9178;13226
280;8808;9186;13377
281;8808;9178;13009
282;8808;9183;14001
283;8808;9173;13338
284;8808;9150;12514
285;8808;9134;11737
286;8808;9138;12722
287;8789;9135;13079
288;8789;9159;12167
289;8789;9112;12656
290;8789;9106;13164
291;8789;9109;12671
292;8789;9070;13584
293;8789;9041;12349
