gen;best;avg;worst
253;9158;9901;13881
254;9158;9858;12429
255;9155;9844;12893
256;9155;9832;12328
257;9144;9852;15409
258;9049;9759;13152
259;9049;9715;13219
260;9044;9638;12699
261;9044;9602;12400
262;9038;9604;13075
263;8999;9613;12529
264;8999;9539;14169
265;8910;9560;13122
266;8910;9499;13097
267;8900;9548;13287
268;8900;9441;12540
269;8857;9439;12866
270;8831;9400;12399
271;8831;9365;11980
272;8734;9392;14241
273;8734;9386;13491
274;8734;9321;12362
275;8734;9305;12944
276;8734;9274;13294
277;8734;9234;13496
278;8734;9157;12766
279;8734;9115;12678
280;8734;9134;12135
281;8734;9152;14890
282;8734;9126;13287
283;8734;9067;13840
284;8723;9062;11237
285;8723;9081;13466
286;8723;9025;12474
287;8723;9031;13669
288;8637;8997;12442
289;8631;8992;11671
290;8631;8952;12452
291;8603;8927;11972
292;8603;8976;11938
293;8594;8990;12321
294;8584;9032;12164
295;8574;9010;12148
296;8574;9049;13733
297;8574;8972;13056
298;8574;8968;11742
299;8574;9021;12274
300;8504;9019;12868
301;8431;8990;12580
302;8426;9052;14215
303;8426;9056;12874
304;8426;9069;13286
305;8426;9070;12740
306;8426;9041;11944
307;8426;9033;12113
308;8426;9000;12677
309;8426;9031;13600
310;8426;9055;13844
311;8426;9040;12903
312;8426;8995;12544
313;8426;9000;12025
314;8426;9012;12632
315;8426;9039;12949
316;8426;9062;12704
317;8426;9092;12304
318;8426;9141;14662
319;8426;9173;13865
320;8426;9146;14395
321;8426;9110;13906
322;8426;9132;13301
323;8426;9196;14342
324;8426;9190;13696
325;8426;9130;13422
326;8426;9144;12386
327;8426;9237;13940
328;8426;9225;12993
329;8426;9160;12270
330;8426;9064;13282
331;8426;9028;13115
332;8426;9009;13410
333;8426;8918;12574
334;8426;8883;12031
335;8426;8868;12277
336;8426;8869;12153
337;8426;8833;12658
338;8426;8772;12461
339;8426;8800;12754
340;8426;8822;12657
341;8426;8775;12819
342;8426;8771;11625
343;8426;8803;11748
344;8426;8752;11546
345;8426;8741;12157
346;8426;8730;12717
347;8426;8728;11225
348;8426;8786;11846
349;8426;8779;12000
350;8426;8730;11218
351;8426;8724;13098
352;8426;8713;11862
353;8426;8744;12933
354;8426;8728;15066
355;8426;8709;11488
356;8426;8680;11327
357;8426;8645;13827
358;8426;8653;11362
359;8426;8678;11905
360;8426;8633;11316
361;8426;8636;11472
362;8426;8635;13377
363;8426;8646;11399
364;8426;8638;11156
365;8426;8680;12151
366;8424;8653;12087
367;8424;8662;11453
368;8424;8636;13031
369;8424;8596;11892
370;8424;8588;12166
371;8424;8584;11641
372;8424;8559;11661
373;8419;8610;11793
374;8393;8598;12101
375;8392;8585;11647
376;8392;8611;11333
377;8392;8636;12558
378;8392;8621;12945
379;8392;8630;11984
380;8311;8601;12164
381;8311;8572;12211
