num;best;avg;worst
311;39;14551;202
312;39;14593;156
313;39;14636;249
314;39;14680;242
315;39;14723;188
316;39;14767;200
317;39;14814;240
318;39;14857;222
319;39;14888;242
320;39;14932;221
321;39;14992;242
322;39;15021;185
323;39;15082;190
324;39;15128;265
325;39;15174;314
326;39;15218;296
327;39;15246;249
328;39;15305;236
329;39;15350;179
330;39;15395;208
331;39;15440;236
332;39;15485;200
333;39;15529;233
334;39;15574;249
335;39;15619;199
336;39;15665;282
337;39;15708;183
338;39;15753;247
339;39;15798;249
340;39;15843;232
341;39;15889;206
342;39;15933;183
343;39;15979;212
344;39;16027;239
345;39;16072;265
346;39;16117;272
347;39;16162;244
348;39;16191;272
349;39;16250;183
350;39;16293;209
351;39;16337;208
352;39;16379;219
353;39;16424;201
354;39;16454;217
355;39;16516;254
356;39;16546;265
357;39;16592;259
358;39;16652;200
359;39;16696;194
360;39;16742;236
361;39;16785;183
362;39;16830;233
363;39;16874;183
364;39;16919;183
365;39;16964;199
366;39;17009;190
367;39;17054;195
368;39;17098;224
369;39;17143;254
370;39;17186;185
371;39;17230;195
372;39;17275;200
373;39;17319;197
374;39;17346;183
375;39;17407;208
376;39;17451;179
377;39;17478;208
378;39;17522;249
379;39;17567;252
380;39;17613;272
381;39;17675;293
382;39;17719;220
383;39;17762;236
384;39;17788;244
385;39;17851;208
386;39;17879;249
387;39;17922;177
388;39;17966;190
389;39;18029;219
390;39;18074;272
391;39;18117;194
392;39;18160;241
393;39;18187;183
394;39;18251;190
395;39;18280;220
396;39;18346;250
397;39;18374;226
398;39;18437;212
399;39;18464;197
400;39;18508;249
401;39;18572;205
402;39;18615;183
403;39;18642;201
404;39;18707;252
405;39;18752;254
406;39;18797;190
407;39;18842;254
408;39;18887;244
409;39;18912;234
410;39;18978;288
411;39;19023;251
412;39;19068;197
413;39;19114;257
414;39;19160;316
415;39;19205;218
416;39;19230;213
417;39;19295;249
418;39;19342;330
419;39;19386;211
420;39;19431;197
421;39;19457;272
422;39;19522;222
423;39;19567;197
424;39;19612;183
425;39;19638;213
426;39;19683;252
427;39;19747;218
428;39;19771;197
429;39;19838;274
430;39;19886;272
