gen;best;avg;worst
253;8027;8958;18736
254;8027;10083;20900
255;8027;10825;23452
256;8027;10689;23428
257;8027;11809;24836
258;8027;11811;25673
259;8027;13517;26805
260;8027;14829;28979
261;8027;16423;29479
262;8027;15986;31443
263;8027;16644;31714
264;8027;17020;31244
265;8027;17741;32245
266;8027;17793;30847
267;8027;17157;31744
268;8027;17795;30716
269;8027;17430;31023
270;8027;18277;32573
271;8027;18401;31918
272;8027;16506;31396
273;8027;17522;31346
274;8027;17217;31212
275;8027;18085;31536
276;8027;17780;32722
277;8027;17414;30925
278;8027;17357;30717
279;8027;18428;32691
280;8027;18180;32609
281;8027;18060;31086
282;8027;18479;32870
283;8027;18218;32604
284;8027;19477;33136
285;8027;19535;32366
286;8027;19487;32126
287;8027;19453;32494
288;8027;17645;31138
289;8027;18500;31594
290;8027;17871;31089
291;8027;18465;32442
292;8027;18897;31542
293;8027;18496;31134
294;8027;18083;30221
295;8027;18908;31183
296;8027;18636;32659
297;8027;20289;32530
298;8027;20546;32270
299;8027;21832;33580
300;8027;20566;32539
301;8027;20372;33410
302;8027;19728;32642
303;8027;20713;32941
304;8027;20052;32964
305;8027;20917;32966
306;8027;21629;33947
307;8027;19923;33188
308;8027;20713;34068
309;8027;20124;33940
310;8027;21131;33720
311;8027;20498;33689
312;8027;20866;33293
313;8027;20833;31726
314;8027;22008;32632
315;8027;21815;32253
316;8027;21070;33497
317;8027;20361;31237
318;8027;20193;30921
319;8027;20466;31920
320;8027;18786;30904
321;8027;18823;29548
322;8027;19179;28792
323;8027;19161;29706
324;8027;19736;29620
325;8027;20253;30166
326;8027;19660;31532
327;8027;19603;32492
328;8027;20188;31808
329;8027;20966;31810
330;8027;20179;30795
331;8027;20681;32149
332;8027;20937;32756
333;8027;21265;33305
334;8027;19886;30679
335;8027;20495;31391
336;8027;20926;31615
337;8027;19623;30650
338;8027;20415;31360
339;8027;20424;31301
340;8027;19639;30336
341;8027;19905;30319
342;8027;19248;30263
343;8027;19998;31138
344;8027;20526;32250
345;8027;21106;32534
346;8027;21439;32172
347;8027;21650;32261
348;8027;21614;31302
349;8027;21814;31788
350;8027;20994;30184
351;8027;20919;30576
352;8027;21488;31751
353;8027;21647;32807
354;8027;22152;32560
355;8027;21244;31813
356;8027;20123;30822
357;8027;20850;32221
358;8027;22149;33625
359;8027;21677;33610
360;8027;20572;31666
361;8027;20451;31434
362;8027;19751;31519
363;8027;19873;31913
364;8027;20134;30266
365;8027;20390;30679
366;8027;20200;31132
367;8027;20463;30949
368;8027;20505;29019
369;8027;19968;29735
370;8027;20662;30620
371;8027;20224;31305
372;8027;20852;32180
373;8027;20760;32695
374;8027;20848;32011
375;8027;20725;33470
376;8027;21174;33378
377;8027;20540;31608
378;8027;19932;31093
379;8027;20163;31287
380;8027;20580;30998
381;8027;21133;33904
382;8027;21909;34491
383;8027;22138;33926
384;8027;22477;34509
385;8027;21575;33500
386;8027;20886;30599
387;8027;21066;32055
388;8027;20807;31864
389;8027;21704;32127
390;8027;21900;32239
391;8027;20776;31359
392;8027;20474;32649
393;8027;20813;33018
394;8027;22200;33098
395;8027;21579;32560
396;8027;21716;33085
397;8027;20187;31410
398;8027;20848;31418
399;8027;21027;31337
400;8027;20503;30382
401;8027;19984;29978
402;8027;20477;31059
403;8027;21490;31802
404;8027;21982;33421
405;8027;22303;33209
406;8027;21663;32146
407;8027;21809;31621
408;8027;20869;30291
409;8027;21266;32281
410;8027;22003;32128
411;8027;21228;32242
412;8027;20987;32295
413;8027;21800;33474
414;8027;21789;33120
415;8027;21156;32457
416;8027;20743;31370
417;8027;20917;30787
418;8027;20798;30625
419;8027;21288;31588
420;8027;20512;30827
421;8027;21436;30828
422;8027;22330;33291
423;8027;21366;32528
424;8027;21507;32162
425;8027;21028;30359
426;8027;20487;30290
427;8027;20818;30849
428;8027;21276;32080
429;8027;21647;30615
430;8027;22207;31850
431;8027;22228;32400
432;8027;22038;32489
433;8027;21900;33139
434;8027;21965;32023
435;8027;20553;31642
436;8027;20959;31786
437;8027;20797;30941
438;8027;21389;31951
439;8027;20723;31258
440;8027;20789;29780
441;8027;21212;32723
442;8027;22294;31616
443;8027;22748;32854
444;8027;22846;32576
445;8027;22045;32331
446;8027;22021;32202
447;8027;22927;32830
448;8027;22891;33084
449;8027;21600;31982
450;8027;21617;31648
451;8027;22042;30991
452;8027;21473;32570
453;8027;20431;30747
454;8027;21594;31424
455;8027;22644;33366
456;8027;22367;33706
457;8027;21824;31803
458;8027;21254;32317
459;8027;21864;32214
460;8027;22367;33072
461;8027;21223;30585
462;8027;20998;29890
463;8027;21814;31711
464;8027;21149;30870
465;8027;20905;30203
466;8027;20948;30612
467;8027;21803;31722
468;8027;23527;33724
469;8027;23174;32852
470;8027;22480;32208
471;8027;21793;31919
472;8027;21734;30634
473;8027;21344;30254
474;8027;20984;30205
475;8027;22380;31973
476;8027;22081;31905
477;8027;21642;31849
478;8027;21313;29857
479;8027;20984;31390
480;8027;21524;31814
481;8027;21538;32821
482;8027;20789;32692
483;8027;21457;30906
484;8027;21158;31515
485;8027;21205;31659
486;8027;21912;31509
487;8027;22014;31756
488;8027;21772;31659
489;8027;22158;32648
490;8027;21970;32381
491;8027;20866;32518
492;8027;21500;31335
493;8027;21841;33258
494;8027;20916;32597
495;8027;21457;32943
496;8027;20413;31223
497;8027;20629;31483
498;8027;21347;31300
499;8027;20652;31924
500;8027;20754;30982
